"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","13,921,569","100"
"2","youtube.com","21,949,427","100"
"3","www.blogger.com","28,900,500","100"
"4","play.google.com","3,787,280","99"
"5","support.google.com","5,199,118","99"
"6","microsoft.com","5,165,365","99"
"7","linkedin.com","11,433,932","99"
"8","apple.com","6,374,189","99"
"9","cloudflare.com","6,174,269","98"
"10","maps.google.com","5,345,322","98"
"11","drive.google.com","2,317,743","98"
"12","docs.google.com","3,146,698","98"
"13","youtu.be","4,977,336","98"
"14","wordpress.org","11,622,039","98"
"15","en.wikipedia.org","6,858,019","98"
"16","sites.google.com","2,137,099","97"
"17","plus.google.com","11,447,842","97"
"18","europa.eu","2,116,121","97"
"19","bp.blogspot.com","17,466,138","97"
"20","accounts.google.com","2,555,988","97"
"21","whatsapp.com","3,228,854","97"
"22","adobe.com","2,849,619","97"
"23","googleusercontent.com","3,052,445","97"
"24","mozilla.org","2,311,960","97"
"25","t.me","1,017,378","96"
"26","istockphoto.com","3,512,865","96"
"27","vk.com","1,742,341","96"
"28","es.wikipedia.org","946,756","96"
"29","feedburner.com","1,792,114","96"
"30","amazon.com","4,879,577","96"
"31","github.com","2,703,755","96"
"32","vimeo.com","3,514,541","96"
"33","uol.com.br","674,712","96"
"34","facebook.com","57,861,079","96"
"35","search.google.com","1,335,206","95"
"36","google.es","473,844","95"
"37","gstatic.com","619,079","95"
"38","imdb.com","1,498,372","95"
"39","dailymotion.com","1,139,845","95"
"40","fr.wikipedia.org","630,933","95"
"41","w3.org","1,141,283","95"
"42","enable-javascript.com","8,280,491","95"
"43","forbes.com","1,495,104","95"
"44","pt.wikipedia.org","415,852","95"
"45","theguardian.com","1,556,321","95"
"46","slideshare.net","1,005,209","95"
"47","www.weebly.com","4,755,997","95"
"48","paypal.com","1,099,623","95"
"49","tools.google.com","1,695,201","95"
"50","nytimes.com","2,158,128","95"
"51","youronlinechoices.com","566,006","95"
"52","google.com.br","295,023","95"
"53","who.int","2,001,208","95"
"54","jimdofree.com","1,714,722","95"
"55","reuters.com","917,558","95"
"56","gravatar.com","12,168,785","95"
"57","brandbucket.com","11,165,519","95"
"58","draft.blogger.com","10,589,852","95"
"59","live.com","883,683","95"
"60","nih.gov","1,388,038","95"
"61","line.me","824,140","95"
"62","bbc.co.uk","1,726,266","95"
"63","cpanel.net","1,611,812","95"
"64","policies.google.com","2,354,590","95"
"65","creativecommons.org","1,708,112","95"
"66","wikimedia.org","1,959,630","95"
"67","ok.ru","355,128","95"
"68","google.co.jp","658,732","95"
"69","globo.com","445,158","95"
"70","files.wordpress.com","7,596,173","95"
"71","dropbox.com","1,075,678","95"
"72","mail.google.com","496,612","95"
"73","google.de","1,129,415","95"
"74","bbc.com","885,416","95"
