Threshold,Total Sites,Total Acutal Legit,Total Actual Phishing,Total Classified Phishing,Total Classified Legitimate,True Positive Rate,False Positive Rate,False Negative Rate,True Negative Rate,Accuracy,Phishing: Contains No hyperlinks,Phishing: Contains Null Links,Phishing: Points to Foreign domains,Legitimate: Contains No hyperlinks,Legitimate: Contains Null Links,Legitimate: Points to Foreign domains,% Phishing,% Legitimate,Pages that failed to run,Pages that ran,Invalid hostname count
10,8843,500,8343,5355,311,91.65266106442577,8.347338935574228,69.45337620578779,30.54662379421222,88.298623367455,3368,634,4745,46,151,214,90.43416872573245,9.56583127426756,3177,5666,1
20,8843,500,8343,5553,309,91.4820817576085,8.5179182423915,50.48543689320388,49.51456310679612,89.26987376322074,3482,658,4949,45,152,153,89.3210508358922,10.678949164107813,2981,5862,2
30,8843,500,8343,5427,310,94.69320066334991,5.306799336650083,43.225806451612904,56.774193548387096,92.6442391493812,3438,647,4793,46,152,131,91.91214920690255,8.087850793097438,3106,5737,1
36,8843,500,8343,5298,312,88.54284635711589,11.457153642884107,42.30769230769231,57.692307692307686,86.8270944741533,3363,623,4655,46,151,130,85.97147950089126,14.028520499108735,3233,5610,1
40,8843,500,8343,5428,309,88.61459100957995,11.385408990420045,41.74757281553398,58.252427184466015,86.97925745162978,3387,620,4794,47,151,129,86.0902910929057,13.9097089070943,3106,5737,2
50,8843,500,8343,5893,313,88.03665365688104,11.963346343118955,33.86581469648562,66.13418530351439,86.93200128907509,3641,675,5158,46,152,105,85.3045439896874,14.695456010312602,2637,6206,1
60,8843,500,8343,5926,312,90.60074249071887,9.399257509281133,29.807692307692307,70.1923076923077,89.57999358768836,3640,688,4920,47,151,88,87.56011542160948,12.43988457839051,2605,6238,3
70,8843,500,8343,5445,313,89.71533516988063,10.284664830119375,27.47603833865815,72.52396166134186,88.78082667592915,3443,617,4463,46,150,83,86.33205974296631,13.667940257033692,3085,5758,3
80,8843,500,8343,5373,313,83.62181276754141,16.37818723245859,25.878594249201274,74.12140575079871,83.09883925430883,3311,611,4357,45,150,78,80.44319380935632,19.556806190643687,3157,5686,2
90,8843,500,8343,5767,311,82.81602219524883,17.183977804751173,25.401929260450164,74.59807073954984,82.39552484369858,3548,666,4648,45,149,75,79.87824942415268,20.12175057584732,2765,6078,7
